otu_id	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_13948	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	""	""
OTU_13949	Bacteria	Chloroflexi	Anaerolineae	SBR1031	""	""	""
OTU_13950	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	""	""
OTU_13951	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter	""
OTU_13952	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Acidipila-Silvibacterium	""
OTU_13953	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	WWH38	""	""
OTU_13954	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	""	""
OTU_13955	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13956	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	""
OTU_13957	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae (Subgroup 1)	Acidipila-Silvibacterium	""
OTU_13958	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	""	""
OTU_13959	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	""	""
OTU_13960	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	""
OTU_13961	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	""
OTU_13962	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	""
OTU_13963	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	""
OTU_13964	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	""	""
OTU_13965	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	""
OTU_13966	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13967	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	""	""
OTU_13968	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	""	""	""
OTU_13969	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	""	""
OTU_13970	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	1959-1	""
OTU_13971	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	""
OTU_13972	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	""	""	""
OTU_13973	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	""
OTU_13974	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13975	Bacteria	Proteobacteria	Alphaproteobacteria	""	""	""	""
OTU_13976	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group	""	""
OTU_13977	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	""	""
OTU_13978	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	""	""	""
